year,month,day,hour,wind_speed,air_temp
2023,05,20,10,5.2,8.4
2023,05,20,11,3.7,8.6
2023,05,20,12,4.6,9.5
2023,05,20,13,6.6,9.7
2023,05,20,14,7.0,9.8
2023,05,20,15,8.2,9.9
2023,05,20,16,6.2,10.0
2023,05,20,17,8.5,10.4
2023,05,20,18,6.0,10.6
2023,05,20,19,5.9,10.7
2023,05,20,20,5.6,10.3
2023,05,20,21,9.6,10.1
2023,05,20,22,8.8,10.1
2023,05,20,23,9.3,10.0
2023,05,21,00,9.6,9.8
2023,05,21,01,10.1,10.1
2023,05,21,02,11.9,10.0
2023,05,21,03,12.7,10.6
2023,05,21,04,13.4,10.4
2023,05,21,05,15.5,10.8
2023,05,21,06,17.1,11.2
2023,05,21,07,17.2,11.3
2023,05,21,08,16.6,11.2
2023,05,21,09,17.1,11.5
2023,05,21,10,14.9,10.9
2023,05,21,11,13.0,10.3
2023,05,21,12,12.3,10.4
2023,05,21,13,10.7,9.8
2023,05,21,14,7.3,9.2
2023,05,21,15,7.7,9.3
2023,05,21,16,7.0,9.0
2023,05,21,17,5.9,8.8
2023,05,21,18,6.1,9.5
2023,05,21,19,7.1,10.4
2023,05,21,20,7.5,10.3
2023,05,21,21,6.6,10.6
2023,05,21,22,8.1,11.0
2023,05,21,23,7.9,11.2
2023,05,22,00,5.4,14.1
2023,05,22,01,5.7,15.7
2023,05,22,02,3.3,13.9
2023,05,22,03,3.2,15.8
2023,05,22,04,2.9,16.6
2023,05,22,05,5.8,14.5
2023,05,22,06,10.4,12.1
2023,05,22,07,10.0,10.9
2023,05,22,08,10.1,10.3
2023,05,22,09,9.1,9.6
2023,05,22,10,11.2,8.9
2023,05,22,11,11.3,8.2
2023,05,22,12,11.3,8.0
2023,05,22,13,11.0,8.0
2023,05,22,14,9.2,8.2
2023,05,22,15,7.7,8.6
2023,05,22,16,5.9,8.6
2023,05,22,17,4.0,8.8
2023,05,22,18,4.8,8.5
2023,05,22,19,4.8,8.9
2023,05,22,20,5.3,9.1
2023,05,22,21,3.4,10.2
2023,05,22,22,3.6,9.7
2023,05,22,23,3.2,10.0
2023,05,23,00,2.9,9.8
2023,05,23,01,1.0,8.6
2023,05,23,02,3.1,8.1
2023,05,23,03,2.1,8.1
2023,05,23,04,2.1,8.4
2023,05,23,05,3.4,8.9
2023,05,23,06,1.1,7.8
2023,05,23,07,2.6,8.2
2023,05,23,08,2.7,8.6
2023,05,23,09,1.8,8.5
2023,05,23,10,2.7,9.1
2023,05,23,11,1.2,8.9
2023,05,23,12,0.9,9.7
2023,05,23,13,2.3,9.1
2023,05,23,14,1.6,11.0
2023,05,23,15,3.4,10.6
2023,05,23,16,2.3,10.8
2023,05,23,17,3.6,10.8
2023,05,23,18,4.3,10.5
