V1,V2,V3,V4,V7,V14
2023,8,30,4,6.5,16.2
2023,8,30,6,6.9,16.6
2023,8,30,7,6.7,16.4
2023,8,30,8,5.8,16.7
2023,8,30,9,6.2,16.9
2023,8,30,10,6.3,17.3
2023,8,30,11,5.7,18
2023,8,30,12,4.3,19.1
2023,8,30,13,3.9,17.8
2023,8,30,14,5.4,17.6
2023,8,30,15,5,17.4
2023,8,30,16,5.9,17.6
2023,8,30,17,6.5,17.3
2023,8,30,18,5,16.5
2023,8,30,19,3.3,16.9
2023,8,30,20,6.1,16.1
2023,8,30,21,8.8,16.1
2023,8,30,22,8.1,16
2023,8,30,23,6.4,15.4
2023,8,31,0,8.1,15.3
2023,8,31,1,7.7,15.6
2023,8,31,2,8.1,15.5
2023,8,31,3,7.4,15.6
2023,8,31,4,7.9,15.5
2023,8,31,5,5.3,15
2023,8,31,6,6.8,15.3
2023,8,31,7,6.3,16.1
2023,8,31,8,5.4,14.7
2023,8,31,9,5.9,15.8
2023,8,31,10,8.2,14.7
2023,8,31,11,9.4,14.6
2023,8,31,12,9.7,14.6
2023,8,31,13,5.9,14.3
2023,8,31,14,7.4,14.4
2023,8,31,15,4.3,14.3
2023,8,31,16,1.4,14.6
2023,8,31,17,5.3,15.7
2023,8,31,18,6.7,15.8
2023,8,31,19,6.9,15.9
2023,8,31,20,6.2,16
2023,8,31,21,6.4,17.5
2023,8,31,22,6.9,16.6
2023,8,31,23,8.6,16.5
